"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Type: All Types - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | BMW | Ford | Honda | Mercedes-Benz | Subaru | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD78B7254"
"ColumnCount:",6
"RowCount:",552

"Time","All Types, BMW, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Mercedes-Benz, All Models, All Vehicle Years, #","All Types, Subaru, All Models, All Vehicle Years, #"
"04/1999",38,1644,394,18,60
"05/1999",34,1892,492,22,56
"06/1999",32,1832,446,34,54
"07/1999",48,2010,498,18,50
"08/1999",52,2136,556,22,50
"09/1999",46,1934,482,22,30
"10/1999",60,2150,502,28,38
"11/1999",46,1918,452,32,36
"12/1999",52,2076,452,28,56
"01/2000",19,866,170,19,30
"02/2000",16,808,185,11,19
"03/2000",14,832,196,14,18
"04/2000",24,935,261,20,32
"05/2000",19,894,258,23,25
"06/2000",25,911,285,19,13
"07/2000",17,1008,288,11,20
"08/2000",25,1016,285,21,24
"09/2000",23,956,241,16,31
"10/2000",21,977,266,9,32
"11/2000",25,865,214,16,25
"12/2000",25,966,219,21,36
"01/2001",19,795,186,14,24
"02/2001",24,745,186,14,24
"03/2001",24,813,187,13,31
"04/2001",19,832,225,18,26
"05/2001",20,924,284,14,25
"06/2001",23,896,294,22,35
"07/2001",24,997,327,19,23
"08/2001",20,996,297,13,29
"09/2001",20,940,274,20,22
"10/2001",27,974,287,22,28
"11/2001",24,972,261,20,35
"12/2001",27,1007,273,22,34
"01/2002",20,880,231,15,26
"02/2002",24,766,194,14,19
"03/2002",20,919,255,15,32
"04/2002",24,844,240,15,9
"05/2002",22,923,296,17,16
"06/2002",21,949,312,19,27
"07/2002",29,986,321,26,22
"08/2002",22,954,353,18,19
"09/2002",28,949,291,17,30
"10/2002",28,955,237,15,20
"11/2002",19,887,243,21,18
"12/2002",21,918,217,21,31
"01/2003",18,815,188,16,20
"02/2003",9,748,201,15,21
"03/2003",22,823,230,14,13
"04/2003",23,920,316,16,22
"05/2003",25,903,269,21,32
"06/2003",23,905,300,16,30
"07/2003",30,943,321,20,24
"08/2003",36,1009,364,24,27
"09/2003",27,925,302,25,22
"10/2003",32,1062,309,27,30
"11/2003",28,983,305,18,30
"12/2003",24,957,219,19,21
"01/2004",16,841,229,20,22
"02/2004",24,781,218,26,23
"03/2004",19,812,249,20,20
"04/2004",25,866,274,19,25
"05/2004",25,894,312,23,35
"06/2004",22,957,323,23,21
"07/2004",32,887,373,17,18
"08/2004",30,974,376,23,23
"09/2004",23,836,304,15,17
"10/2004",23,921,327,26,22
"11/2004",24,903,261,15,24
"12/2004",11,943,274,19,32
"01/2005",16,784,231,22,28
"02/2005",22,757,223,16,10
"03/2005",21,769,249,13,23
"04/2005",28,824,312,20,34
"05/2005",40,911,332,16,19
"06/2005",23,871,340,24,27
"07/2005",31,959,363,25,28
"08/2005",31,911,350,22,19
"09/2005",39,914,344,15,31
"10/2005",28,995,329,24,32
"11/2005",38,935,313,24,41
"12/2005",27,950,258,14,30
"01/2006",32,788,238,23,22
"02/2006",17,701,221,20,32
"03/2006",32,793,277,20,26
"04/2006",22,763,328,16,21
"05/2006",43,851,359,31,23
"06/2006",21,835,332,25,21
"07/2006",35,866,358,26,25
"08/2006",19,854,350,26,43
"09/2006",26,810,360,30,26
"10/2006",38,931,321,31,22
"11/2006",30,857,264,32,30
"12/2006",33,851,259,28,32
"01/2007",29,715,244,12,13
"02/2007",24,688,208,31,23
"03/2007",24,819,301,21,22
"04/2007",34,824,326,18,25
"05/2007",27,793,339,28,26
"06/2007",30,794,339,24,30
"07/2007",27,844,340,26,30
"08/2007",32,837,354,18,31
"09/2007",34,770,312,23,35
"10/2007",33,770,328,28,30
"11/2007",35,802,265,33,28
"12/2007",25,811,269,28,19
"01/2008",26,684,201,22,22
"02/2008",23,655,213,19,27
"03/2008",25,679,218,19,22
"04/2008",32,675,300,23,19
"05/2008",26,691,312,16,26
"06/2008",28,693,370,24,26
"07/2008",21,640,332,20,31
"08/2008",33,727,343,20,39
"09/2008",40,605,280,18,26
"10/2008",31,694,295,21,19
"11/2008",34,715,237,16,24
"12/2008",32,736,240,21,15
"01/2009",33,639,204,12,18
"02/2009",23,546,201,20,16
"03/2009",26,554,213,17,20
"04/2009",35,607,229,22,24
"05/2009",34,651,326,19,24
"06/2009",25,627,302,22,28
"07/2009",27,655,294,13,28
"08/2009",28,630,313,18,23
"09/2009",31,610,256,22,24
"10/2009",20,665,255,25,21
"11/2009",21,625,243,27,21
"12/2009",27,622,185,20,21
"01/2010",26,544,177,18,15
"02/2010",22,450,188,14,20
"03/2010",19,532,223,14,16
"04/2010",42,601,273,26,21
"05/2010",27,559,298,12,20
"06/2010",20,613,285,14,33
"07/2010",45,616,317,20,25
"08/2010",32,621,270,17,26
"09/2010",29,673,263,31,24
"10/2010",35,624,288,21,31
"11/2010",25,652,233,21,12
"12/2010",21,617,218,21,33
"01/2011",27,517,213,24,32
"02/2011",22,467,175,20,19
"03/2011",28,527,197,20,25
"04/2011",28,547,243,22,19
"05/2011",32,567,254,11,19
"06/2011",18,569,300,24,31
"07/2011",26,636,358,24,32
"08/2011",25,580,306,28,25
"09/2011",32,607,262,13,18
"10/2011",31,632,278,27,23
"11/2011",38,568,218,24,30
"12/2011",20,589,222,19,34
"01/2012",31,555,188,18,27
"02/2012",23,529,206,22,20
"03/2012",24,516,265,15,25
"04/2012",26,524,268,23,25
"05/2012",36,607,309,23,30
"06/2012",45,570,316,29,23
"07/2012",24,656,307,30,26
"08/2012",31,617,309,22,28
"09/2012",36,586,259,25,26
"10/2012",30,598,260,27,32
"11/2012",23,608,230,23,28
"12/2012",32,606,243,23,36
"01/2013",25,523,217,20,16
"02/2013",23,453,183,17,21
"03/2013",41,545,223,20,29
"04/2013",30,528,258,24,19
"05/2013",35,547,298,24,17
"06/2013",34,596,297,17,26
"07/2013",42,524,291,15,33
"08/2013",34,583,347,18,30
"09/2013",39,588,316,29,27
"10/2013",33,609,269,38,27
"11/2013",29,590,253,41,38
"12/2013",32,550,197,29,33
"01/2014",26,528,183,24,29
"02/2014",21,451,184,16,25
"03/2014",33,508,241,24,26
